% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.261	1	0	0	3	26	3	0	8	1	15	1	0	28	15970
0.261	1	0	0	2	26	3	0	9	1	15	1	0	28	15970
0.261	1	0	0	1	26	3	0	10	1	15	1	0	28	15970
0.271	1	0	0	10	27	3	0	1	1	15	1	0	28	15970
0.271	1	0	0	9	27	3	0	2	1	15	1	0	28	15970
0.271	1	0	0	8	27	3	0	3	1	15	1	0	28	15970
0.271	1	0	0	7	27	3	0	4	1	15	1	0	28	15970
0.271	1	0	0	6	27	3	0	5	1	15	1	0	28	15970
0.271	1	0	0	5	27	3	0	6	1	15	1	0	28	15970
0.271	1	0	0	4	27	3	0	7	1	15	1	0	28	15970
0.271	1	0	0	3	27	3	0	8	1	15	1	0	28	15970
0.271	1	0	0	2	27	3	0	9	1	15	1	0	28	15970
0.271	1	0	0	1	27	3	0	10	1	15	1	0	28	15970
0.281	1	0	0	10	28	3	0	1	1	15	1	0	28	15970
0.281	1	0	0	9	28	3	0	2	1	15	1	0	28	15970
0.281	1	0	0	8	28	3	0	3	1	15	1	0	28	15970
0.281	1	0	0	7	28	3	0	4	1	15	1	0	28	15970
0.281	1	0	0	6	28	3	0	5	1	15	1	0	28	15970
0.281	1	0	0	5	28	3	0	6	1	15	1	0	28	15970
0.281	1	0	0	4	28	3	0	7	1	15	1	0	28	15970
0.281	1	0	0	3	28	3	0	8	1	15	1	0	28	15970
0.281	1	0	0	2	28	3	0	9	1	15	1	0	28	15970
0.281	1	0	0	1	28	3	0	10	1	15	1	0	28	15970
0.291	1	0	0	10	29	3	0	1	1	15	1	0	28	15970
0.291	1	0	0	9	29	3	0	2	1	15	1	0	28	15970
0.291	1	0	0	8	29	3	0	3	1	15	1	0	28	15970
0.291	1	0	0	7	29	3	0	4	1	15	1	0	28	15970
0.291	1	0	0	6	29	3	0	5	1	15	1	0	28	15970
0.291	1	0	0	5	29	3	0	6	1	15	1	0	28	15970
0.291	1	0	0	4	29	3	0	7	1	15	1	0	28	15970
0.291	1	0	0	3	29	3	0	8	1	15	1	0	28	15970
0.291	1	0	0	2	29	3	0	9	1	15	1	0	28	15970
0.291	1	0	0	1	29	3	0	10	1	15	1	0	28	15970
