Time,Node,X,Y,Z,Speed,Latitude,Longitude,Altitude
+1.2e+11ns,0,6.19368e+06,1.02193e+06,2.25748e+06,7638.62:-383.563:-6.37212e+06,19.7795,9.3691,300000
+1.2e+11ns,1,6.00231e+06,157176,2.13008e+06,10.0142:0:-6.37097e+06,19.5324,1.5,3
+1.25e+11ns,0,6.18732e+06,1.06415e+06,2.25543e+06,7630.87:-399.425:-6.37217e+06,19.7608,9.75875,300000
+1.25e+11ns,1,6.00226e+06,157175,2.13022e+06,10.0142:0:-6.37097e+06,19.5337,1.5,3
+1.3e+11ns,0,6.18069e+06,1.10633e+06,2.25329e+06,7622.81:-415.271:-6.37221e+06,19.7413,10.1483,300000
+1.3e+11ns,1,6.00221e+06,157173,2.13036e+06,10.0142:0:-6.37097e+06,19.5351,1.5,3
+1.35e+11ns,0,6.17381e+06,1.14846e+06,2.25108e+06,7614.44:-431.103:-6.37226e+06,19.7211,10.5378,300000
+1.35e+11ns,1,6.00216e+06,157172,2.1305e+06,10.0142:0:-6.37097e+06,19.5364,1.5,3
+1.4e+11ns,0,6.16667e+06,1.19055e+06,2.24878e+06,7605.75:-446.919:-6.37231e+06,19.7002,10.9272,300000
+1.4e+11ns,1,6.00211e+06,157171,2.13064e+06,10.0142:0:-6.37097e+06,19.5378,1.5,3
+1.45e+11ns,0,6.15928e+06,1.23258e+06,2.2464e+06,7596.75:-462.718:-6.37235e+06,19.6784,11.3164,300000
+1.45e+11ns,1,6.00206e+06,157169,2.13078e+06,10.0142:0:-6.37097e+06,19.5391,1.5,3
+1.5e+11ns,0,6.15162e+06,1.27457e+06,2.24393e+06,7587.44:-478.5:-6.3724e+06,19.656,11.7056,300000
+1.5e+11ns,1,6.00201e+06,157168,2.13093e+06,10.0142:0:-6.37097e+06,19.5405,1.5,3
+1.55e+11ns,0,6.14372e+06,1.3165e+06,2.24139e+06,7577.81:-494.265:-6.37244e+06,19.6327,12.0947,300000
+1.55e+11ns,1,6.00196e+06,157167,2.13107e+06,10.0142:0:-6.37097e+06,19.5418,1.5,3
+1.6e+11ns,0,6.13555e+06,1.35838e+06,2.23876e+06,7567.88:-510.011:-6.37249e+06,19.6088,12.4837,300000
+1.6e+11ns,1,6.00191e+06,157166,2.13121e+06,10.0142:0:-6.37097e+06,19.5432,1.5,3
+1.65e+11ns,0,6.12713e+06,1.40021e+06,2.23605e+06,7557.63:-525.739:-6.37254e+06,19.5841,12.8725,300000
+1.65e+11ns,1,6.00186e+06,157164,2.13135e+06,10.0142:0:-6.37097e+06,19.5445,1.5,3
+1.7e+11ns,0,6.11846e+06,1.44197e+06,2.23325e+06,7547.08:-541.447:-6.37258e+06,19.5586,13.2612,300000
+1.7e+11ns,1,6.00181e+06,157163,2.13149e+06,10.0142:0:-6.37097e+06,19.5459,1.5,3
+1.75e+11ns,0,6.10953e+06,1.48368e+06,2.23038e+06,7536.21:-557.136:-6.37263e+06,19.5324,13.6499,300000
+1.75e+11ns,1,6.00176e+06,157162,2.13163e+06,10.0142:0:-6.37097e+06,19.5472,1.5,3
+1.8e+11ns,0,6.10035e+06,1.52533e+06,2.22742e+06,7525.04:-572.803:-6.37267e+06,19.5054,14.0384,300000
+1.8e+11ns,1,6.00171e+06,157160,2.13177e+06,10.0142:0:-6.37097e+06,19.5486,1.5,3
+1.85e+11ns,0,6.09091e+06,1.56691e+06,2.22438e+06,7513.55:-588.45:-6.37272e+06,19.4777,14.4267,300000
+1.85e+11ns,1,6.00166e+06,157159,2.13192e+06,10.0142:0:-6.37097e+06,19.5499,1.5,3
+1.9e+11ns,0,6.08122e+06,1.60843e+06,2.22126e+06,7501.76:-604.075:-6.37276e+06,19.4493,14.815,300000
+1.9e+11ns,1,6.00161e+06,157158,2.13206e+06,10.0142:0:-6.37097e+06,19.5513,1.5,3
+1.95e+11ns,0,6.07127e+06,1.64988e+06,2.21806e+06,7489.66:-619.678:-6.37281e+06,19.4201,15.2031,300000
+1.95e+11ns,1,6.00156e+06,157156,2.1322e+06,10.0142:0:-6.37097e+06,19.5526,1.5,3
+2e+11ns,0,6.06108e+06,1.69127e+06,2.21477e+06,7477.25:-635.258:-6.37285e+06,19.3902,15.5911,300000
+2e+11ns,1,6.00151e+06,157155,2.13234e+06,10.0142:0:-6.37097e+06,19.554,1.5,3
+2.05e+11ns,0,6.05063e+06,1.73258e+06,2.2114e+06,7464.53:-650.815:-6.3729e+06,19.3596,15.9789,300000
+2.05e+11ns,1,6.00146e+06,157154,2.13248e+06,10.0142:0:-6.37097e+06,19.5553,1.5,3
+2.1e+11ns,0,6.03993e+06,1.77383e+06,2.20796e+06,7451.51:-666.348:-6.37294e+06,19.3282,16.3666,300000
+2.1e+11ns,1,6.00141e+06,157152,2.13262e+06,10.0142:0:-6.37097e+06,19.5567,1.5,3
+2.15e+11ns,0,6.02897e+06,1.815e+06,2.20443e+06,7438.18:-681.856:-6.37299e+06,19.296,16.7542,300000
+2.15e+11ns,1,6.00136e+06,157151,2.13276e+06,10.0142:0:-6.37097e+06,19.558,1.5,3
+2.2e+11ns,0,6.01777e+06,1.85609e+06,2.20082e+06,7424.55:-697.339:-6.37303e+06,19.2632,17.1416,300000
+2.2e+11ns,1,6.00131e+06,157150,2.1329e+06,10.0142:0:-6.37097e+06,19.5594,1.5,3
+2.25e+11ns,0,6.00632e+06,1.89712e+06,2.19713e+06,7410.61:-712.797:-6.37308e+06,19.2296,17.5289,300000
+2.25e+11ns,1,6.00126e+06,157148,2.13305e+06,10.0142:0:-6.37097e+06,19.5607,1.5,3
+2.3e+11ns,0,5.99461e+06,1.93806e+06,2.19335e+06,7396.36:-728.228:-6.37312e+06,19.1953,17.916,300000
+2.3e+11ns,1,6.00121e+06,157147,2.13319e+06,10.0142:0:-6.37097e+06,19.5621,1.5,3
+2.35e+11ns,0,5.98266e+06,1.97892e+06,2.1895e+06,7381.81:-743.633:-6.37317e+06,19.1603,18.303,300000
+2.35e+11ns,1,6.00116e+06,157146,2.13333e+06,10.0142:0:-6.37097e+06,19.5634,1.5,3
+2.4e+11ns,0,5.97046e+06,2.0197e+06,2.18557e+06,7366.96:-759.01:-6.37321e+06,19.1245,18.6898,300000
+2.4e+11ns,1,6.00111e+06,157145,2.13347e+06,10.0142:0:-6.37097e+06,19.5648,1.5,3
+2.45e+11ns,0,5.958e+06,2.0604e+06,2.18155e+06,7351.81:-774.359:-6.37326e+06,19.088,19.0764,300000
+2.45e+11ns,1,6.00106e+06,157143,2.13361e+06,10.0142:0:-6.37097e+06,19.5661,1.5,3
+2.5e+11ns,0,5.94531e+06,2.10101e+06,2.17746e+06,7336.35:-789.679:-6.3733e+06,19.0508,19.4629,300000
+2.5e+11ns,1,6.00101e+06,157142,2.13375e+06,10.0142:0:-6.37097e+06,19.5674,1.5,3
+2.55e+11ns,0,5.93236e+06,2.14154e+06,2.17328e+06,7320.6:-804.971:-6.37335e+06,19.0129,19.8492,300000
+2.55e+11ns,1,6.00096e+06,157141,2.13389e+06,10.0142:0:-6.37097e+06,19.5688,1.5,3
+2.6e+11ns,0,5.91916e+06,2.18198e+06,2.16903e+06,7304.54:-820.233:-6.37339e+06,18.9742,20.2354,300000
+2.6e+11ns,1,6.00091e+06,157139,2.13404e+06,10.0142:0:-6.37097e+06,19.5701,1.5,3
+2.65e+11ns,0,5.90572e+06,2.22233e+06,2.1647e+06,7288.18:-835.465:-6.37344e+06,18.9349,20.6214,300000
+2.65e+11ns,1,6.00086e+06,157138,2.13418e+06,10.0142:0:-6.37097e+06,19.5715,1.5,3
+2.7e+11ns,0,5.89204e+06,2.26259e+06,2.16028e+06,7271.52:-850.666:-6.37348e+06,18.8948,21.0072,300000
+2.7e+11ns,1,6.00081e+06,157137,2.13432e+06,10.0142:0:-6.37097e+06,19.5728,1.5,3
+2.75e+11ns,0,5.87811e+06,2.30275e+06,2.15579e+06,7254.57:-865.836:-6.37352e+06,18.854,21.3928,300000
+2.75e+11ns,1,6.00076e+06,157135,2.13446e+06,10.0142:0:-6.37097e+06,19.5742,1.5,3
+2.8e+11ns,0,5.86393e+06,2.34282e+06,2.15122e+06,7237.31:-880.973:-6.37357e+06,18.8125,21.7783,300000
+2.8e+11ns,1,6.00071e+06,157134,2.1346e+06,10.0142:0:-6.37097e+06,19.5755,1.5,3
+2.85e+11ns,0,5.84951e+06,2.3828e+06,2.14656e+06,7219.76:-896.079:-6.37361e+06,18.7703,22.1635,300000
+2.85e+11ns,1,6.00066e+06,157133,2.13474e+06,10.0142:0:-6.37097e+06,19.5769,1.5,3
+2.9e+11ns,0,5.83485e+06,2.42268e+06,2.14183e+06,7201.92:-911.151:-6.37366e+06,18.7274,22.5486,300000
+2.9e+11ns,1,6.00061e+06,157131,2.13488e+06,10.0142:0:-6.37097e+06,19.5782,1.5,3
+2.95e+11ns,0,5.81994e+06,2.46245e+06,2.13702e+06,7183.77:-926.19:-6.3737e+06,18.6838,22.9335,300000
+2.95e+11ns,1,6.00055e+06,157130,2.13502e+06,10.0142:0:-6.37097e+06,19.5796,1.5,3
+3e+11ns,0,5.80479e+06,2.50213e+06,2.13214e+06,7165.33:-941.195:-6.37374e+06,18.6395,23.3182,300000
+3e+11ns,1,6.0005e+06,157129,2.13517e+06,10.0142:0:-6.37097e+06,19.5809,1.5,3
+3.05e+11ns,0,5.7894e+06,2.5417e+06,2.12717e+06,7146.6:-956.165:-6.37379e+06,18.5945,23.7027,300000
+3.05e+11ns,1,6.00045e+06,157127,2.13531e+06,10.0142:0:-6.37097e+06,19.5823,1.5,3
+3.1e+11ns,0,5.77377e+06,2.58117e+06,2.12212e+06,7127.57:-971.1:-6.37383e+06,18.5488,24.0871,300000
+3.1e+11ns,1,6.0004e+06,157126,2.13545e+06,10.0142:0:-6.37097e+06,19.5836,1.5,3
+3.15e+11ns,0,5.7579e+06,2.62053e+06,2.117e+06,7108.26:-986:-6.37387e+06,18.5024,24.4712,300000
+3.15e+11ns,1,6.00035e+06,157125,2.13559e+06,10.0142:0:-6.37097e+06,19.585,1.5,3
+3.2e+11ns,0,5.74178e+06,2.65978e+06,2.1118e+06,7088.64:-1000.86:-6.37392e+06,18.4553,24.8551,300000
+3.2e+11ns,1,6.0003e+06,157123,2.13573e+06,10.0142:0:-6.37097e+06,19.5863,1.5,3
+3.25e+11ns,0,5.72543e+06,2.69893e+06,2.10652e+06,7068.74:-1015.69:-6.37396e+06,18.4075,25.2389,300000
+3.25e+11ns,1,6.00025e+06,157122,2.13587e+06,10.0142:0:-6.37097e+06,19.5877,1.5,3
+3.3e+11ns,0,5.70884e+06,2.73796e+06,2.10116e+06,7048.55:-1030.48:-6.374e+06,18.359,25.6224,300000
+3.3e+11ns,1,6.0002e+06,157121,2.13601e+06,10.0142:0:-6.37097e+06,19.589,1.5,3
+3.35e+11ns,0,5.69202e+06,2.77689e+06,2.09573e+06,7028.07:-1045.23:-6.37404e+06,18.3098,26.0057,300000
+3.35e+11ns,1,6.00015e+06,157120,2.13616e+06,10.0142:0:-6.37097e+06,19.5904,1.5,3
+3.4e+11ns,0,5.67495e+06,2.81569e+06,2.09022e+06,7007.3:-1059.94:-6.37409e+06,18.26,26.3888,300000
+3.4e+11ns,1,6.0001e+06,157118,2.1363e+06,10.0142:0:-6.37097e+06,19.5917,1.5,3
+3.45e+11ns,0,5.65765e+06,2.85438e+06,2.08463e+06,6986.24:-1074.61:-6.37413e+06,18.2095,26.7717,300000
+3.45e+11ns,1,6.00005e+06,157117,2.13644e+06,10.0142:0:-6.37097e+06,19.5931,1.5,3
+3.5e+11ns,0,5.64012e+06,2.89296e+06,2.07897e+06,6964.89:-1089.25:-6.37417e+06,18.1582,27.1544,300000
+3.5e+11ns,1,6e+06,157116,2.13658e+06,10.0142:0:-6.37097e+06,19.5944,1.5,3
+3.55e+11ns,0,5.62235e+06,2.93141e+06,2.07323e+06,6943.26:-1103.84:-6.37421e+06,18.1064,27.5369,300000
+3.55e+11ns,1,5.99995e+06,157114,2.13672e+06,10.0142:0:-6.37097e+06,19.5958,1.5,3
+3.6e+11ns,0,5.60434e+06,2.96975e+06,2.06741e+06,6921.34:-1118.4:-6.37426e+06,18.0538,27.9192,300000
+3.6e+11ns,1,5.9999e+06,157113,2.13686e+06,10.0142:0:-6.37097e+06,19.5971,1.5,3
+3.65e+11ns,0,5.5861e+06,3.00796e+06,2.06152e+06,6899.14:-1132.91:-6.3743e+06,18.0006,28.3012,300000
+3.65e+11ns,1,5.99985e+06,157112,2.137e+06,10.0142:0:-6.37097e+06,19.5985,1.5,3
+3.7e+11ns,0,5.56763e+06,3.04605e+06,2.05555e+06,6876.66:-1147.38:-6.37434e+06,17.9467,28.6831,300000
+3.7e+11ns,1,5.9998e+06,157110,2.13714e+06,10.0142:0:-6.37097e+06,19.5998,1.5,3
+3.75e+11ns,0,5.54893e+06,3.08401e+06,2.0495e+06,6853.89:-1161.81:-6.37438e+06,17.8921,29.0647,300000
+3.75e+11ns,1,5.99975e+06,157109,2.13729e+06,10.0142:0:-6.37097e+06,19.6012,1.5,3
+3.8e+11ns,0,5.53e+06,3.12185e+06,2.04338e+06,6830.84:-1176.19:-6.37442e+06,17.8369,29.4461,300000
+3.8e+11ns,1,5.9997e+06,157108,2.13743e+06,10.0142:0:-6.37097e+06,19.6025,1.5,3
+3.85e+11ns,0,5.51083e+06,3.15956e+06,2.03719e+06,6807.51:-1190.53:-6.37446e+06,17.781,29.8272,300000
+3.85e+11ns,1,5.99965e+06,157106,2.13757e+06,10.0142:0:-6.37097e+06,19.6039,1.5,3
+3.9e+11ns,0,5.49144e+06,3.19714e+06,2.03092e+06,6783.91:-1204.83:-6.3745e+06,17.7244,30.2081,300000
+3.9e+11ns,1,5.9996e+06,157105,2.13771e+06,10.0142:0:-6.37097e+06,19.6052,1.5,3
+3.95e+11ns,0,5.47182e+06,3.23459e+06,2.02457e+06,6760.02:-1219.08:-6.37455e+06,17.6672,30.5888,300000
+3.95e+11ns,1,5.99955e+06,157104,2.13785e+06,10.0142:0:-6.37097e+06,19.6066,1.5,3
+4e+11ns,0,5.45197e+06,3.2719e+06,2.01815e+06,6735.85:-1233.29:-6.37459e+06,17.6094,30.9693,300000
+4e+11ns,1,5.9995e+06,157102,2.13799e+06,10.0142:0:-6.37097e+06,19.6079,1.5,3
+4.05e+11ns,0,5.43189e+06,3.30908e+06,2.01166e+06,6711.41:-1247.46:-6.37463e+06,17.5509,31.3496,300000
+4.05e+11ns,1,5.99945e+06,157101,2.13813e+06,10.0142:0:-6.37097e+06,19.6093,1.5,3
+4.1e+11ns,0,5.41159e+06,3.34613e+06,2.00509e+06,6686.69:-1261.58:-6.37467e+06,17.4917,31.7296,300000
+4.1e+11ns,1,5.9994e+06,157100,2.13828e+06,10.0142:0:-6.37097e+06,19.6106,1.5,3
+4.15e+11ns,0,5.39106e+06,3.38303e+06,1.99845e+06,6661.7:-1275.65:-6.37471e+06,17.4319,32.1093,300000
+4.15e+11ns,1,5.99935e+06,157098,2.13842e+06,10.0142:0:-6.37097e+06,19.612,1.5,3
+4.2e+11ns,0,5.37031e+06,3.4198e+06,1.99173e+06,6636.44:-1289.67:-6.37475e+06,17.3715,32.4889,300000
+4.2e+11ns,1,5.9993e+06,157097,2.13856e+06,10.0142:0:-6.37097e+06,19.6133,1.5,3
+4.25e+11ns,0,5.34933e+06,3.45643e+06,1.98494e+06,6610.9:-1303.65:-6.37479e+06,17.3104,32.8682,300000
+4.25e+11ns,1,5.99925e+06,157096,2.1387e+06,10.0142:0:-6.37097e+06,19.6147,1.5,3
+4.3e+11ns,0,5.32813e+06,3.49291e+06,1.97808e+06,6585.09:-1317.58:-6.37483e+06,17.2487,33.2472,300000
+4.3e+11ns,1,5.9992e+06,157094,2.13884e+06,10.0142:0:-6.37097e+06,19.616,1.5,3
+4.35e+11ns,0,5.30671e+06,3.52925e+06,1.97115e+06,6559.01:-1331.46:-6.37487e+06,17.1863,33.6261,300000
+4.35e+11ns,1,5.99915e+06,157093,2.13898e+06,10.0142:0:-6.37097e+06,19.6174,1.5,3
+4.4e+11ns,0,5.28507e+06,3.56545e+06,1.96414e+06,6532.66:-1345.29:-6.37491e+06,17.1233,34.0046,300000
+4.4e+11ns,1,5.9991e+06,157092,2.13912e+06,10.0142:0:-6.37097e+06,19.6187,1.5,3
+4.45e+11ns,0,5.26321e+06,3.6015e+06,1.95706e+06,6506.04:-1359.07:-6.37495e+06,17.0597,34.383,300000
+4.45e+11ns,1,5.99905e+06,157091,2.13926e+06,10.0142:0:-6.37097e+06,19.6201,1.5,3
+4.5e+11ns,0,5.24113e+06,3.6374e+06,1.94991e+06,6479.16:-1372.8:-6.37499e+06,16.9955,34.7611,300000
+4.5e+11ns,1,5.999e+06,157089,2.13941e+06,10.0142:0:-6.37097e+06,19.6214,1.5,3
+4.55e+11ns,0,5.21883e+06,3.67315e+06,1.94269e+06,6452.01:-1386.48:-6.37502e+06,16.9306,35.1389,300000
+4.55e+11ns,1,5.99895e+06,157088,2.13955e+06,10.0142:0:-6.37097e+06,19.6228,1.5,3
+4.6e+11ns,0,5.19631e+06,3.70875e+06,1.93539e+06,6424.59:-1400.11:-6.37506e+06,16.8652,35.5165,300000
+4.6e+11ns,1,5.99889e+06,157087,2.13969e+06,10.0142:0:-6.37097e+06,19.6241,1.5,3
+4.65e+11ns,0,5.17358e+06,3.7442e+06,1.92803e+06,6396.91:-1413.69:-6.3751e+06,16.7991,35.8939,300000
+4.65e+11ns,1,5.99884e+06,157085,2.13983e+06,10.0142:0:-6.37097e+06,19.6255,1.5,3
+4.7e+11ns,0,5.15063e+06,3.7795e+06,1.92059e+06,6368.97:-1427.22:-6.37514e+06,16.7324,36.271,300000
+4.7e+11ns,1,5.99879e+06,157084,2.13997e+06,10.0142:0:-6.37097e+06,19.6268,1.5,3
+4.75e+11ns,0,5.12747e+06,3.81464e+06,1.91308e+06,6340.77:-1440.69:-6.37518e+06,16.665,36.6478,300000
+4.75e+11ns,1,5.99874e+06,157083,2.14011e+06,10.0142:0:-6.37097e+06,19.6282,1.5,3
+4.8e+11ns,0,5.10409e+06,3.84962e+06,1.9055e+06,6312.3:-1454.11:-6.37522e+06,16.5971,37.0244,300000
+4.8e+11ns,1,5.99869e+06,157081,2.14025e+06,10.0142:0:-6.37097e+06,19.6295,1.5,3
+4.85e+11ns,0,5.0805e+06,3.88444e+06,1.89786e+06,6283.58:-1467.48:-6.37526e+06,16.5286,37.4007,300000
+4.85e+11ns,1,5.99864e+06,157080,2.14039e+06,10.0142:0:-6.37097e+06,19.6309,1.5,3
+4.9e+11ns,0,5.0567e+06,3.91911e+06,1.89014e+06,6254.6:-1480.8:-6.37529e+06,16.4594,37.7768,300000
