Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	-67.456
0.00507143	1	0	0	-64.9049
0.0100714	1	0	0	-64.9049
0.0150714	1	0	0	-64.9049
0.0200714	1	0	0	-64.9049
0.0240714	1	1	0	-64.9049
0.0250714	1	1	0	-64.9049
0.0300714	1	1	0	-64.9049
0.0350714	1	1	0	-64.9049
0.0400714	1	1	0	-64.9049
0.0450714	1	1	0	-64.9049
0.0500714	1	1	0	-64.9049
0.0550714	1	1	0	-64.9049
0.0600714	1	1	0	-64.9049
0.0650714	1	1	0	-64.9049
0.0700714	1	1	0	-64.9049
0.0750714	1	1	0	-64.9049
0.0800714	1	1	0	-64.9049
0.0850714	1	1	0	-64.9049
0.0900714	1	1	0	-64.9049
0.0950714	1	1	0	-64.9049
0.100071	1	1	0	-64.9049
0.104071	1	1	0	-66.2759
0.105071	1	1	0	-66.2189
0.110071	1	1	0	-65.9445
0.115071	1	1	0	-66.0056
0.120071	1	1	0	-66.1885
0.125071	1	1	0	-65.7788
0.130071	1	1	0	-66.2637
0.135071	1	1	0	-65.9308
0.140071	1	1	0	-65.9836
0.145071	1	1	0	-66.1632
0.150071	1	1	0	-65.8096
0.155071	1	1	0	-66.2935
0.160071	1	1	0	-65.9011
0.165071	1	1	0	-65.974
0.170071	1	1	0	-66.1652
0.175071	1	1	0	-65.8307
0.180071	1	1	0	-66.2862
0.184071	1	1	0	-65.776
0.185071	1	1	0	-65.8734
0.190071	1	1	0	-65.9981
0.195071	1	1	0	-66.183
0.200071	1	1	0	-65.8235
0.203071	1	1	0	-66.0949
0.205071	1	1	0	-65.3262
0.208071	1	1	0	-65.4554
0.210071	1	1	0	-65.3576
0.213071	1	1	0	-65.4736
0.214071	1	1	0	-65.2986
0.215071	1	1	0	-65.3825
0.218071	1	1	0	-65.4702
0.219071	1	1	0	-65.2866
0.220071	1	1	0	-65.4117
0.223071	1	1	0	-65.4578
0.224071	1	1	0	-65.2718
0.225071	1	1	0	-65.4458
0.228071	1	1	0	-65.4477
0.229071	1	1	0	-65.263
0.230071	1	1	0	-65.4676
0.233071	1	1	0	-65.4287
0.234071	1	1	0	-65.275
0.235071	1	1	0	-65.4689
0.238071	1	1	0	-65.3913
0.239071	1	1	0	-65.3016
0.240071	1	1	0	-65.4628
0.243071	1	1	0	-65.3518
0.244071	1	1	0	-65.3262
0.245071	1	1	0	-65.4579
0.248071	1	1	0	-65.3265
0.249071	1	1	0	-65.3494
0.250071	1	1	0	-65.4414
0.253071	1	1	0	-65.3063
0.254071	1	1	0	-65.3829
0.255071	1	1	0	-65.4054
0.258071	1	1	0	-65.2806
0.259071	1	1	0	-65.4222
0.260071	1	1	0	-65.3673
0.263071	1	1	0	-65.263
0.264071	1	1	0	-65.4491
0.265071	1	1	0	-65.3418
0.268071	1	1	0	-65.2676
0.269071	1	1	0	-65.4592
0.270071	1	1	0	-65.3181
0.273071	1	1	0	-65.2847
0.274071	1	1	0	-65.4657
0.275071	1	1	0	-65.2878
0.278071	1	1	0	-65.3
0.279071	1	1	0	-65.4716
0.280071	1	1	0	-65.2665
0.283071	1	1	0	-65.3196
0.284071	1	1	0	-65.461
0.285071	1	1	0	-65.2674
0.288071	1	1	0	-65.3544
0.289071	1	1	0	-65.4298
0.290071	1	1	0	-65.2791
0.293071	1	1	0	-65.3951
0.294071	1	1	0	-65.3972
0.295071	1	1	0	-65.2893
0.298071	1	1	0	-65.4243
0.299071	1	1	0	-65.3731
0.300071	1	1	0	-65.3067
0.304071	1	1	0	-65.344
0.305071	1	1	0	-65.3411
0.309071	1	1	0	-63.9411
0.310071	1	1	0	-64.0145
0.315071	1	1	0	-63.9973
0.320071	1	1	0	-63.7954
0.325071	1	1	0	-63.8135
0.330071	1	1	0	-63.9792
0.335071	1	1	0	-63.923
0.340071	1	1	0	-63.7922
0.344071	1	1	0	-64.032
0.345071	1	1	0	-63.9079
0.350071	1	1	0	-64.046
0.355071	1	1	0	-63.8955
0.360071	1	1	0	-63.7555
0.365071	1	1	0	-63.891
0.370071	1	1	0	-63.9975
0.375071	1	1	0	-63.8598
0.380071	1	1	0	-63.817
0.385071	1	1	0	-63.9899
0.390071	1	1	0	-64.001
