Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	1	-204.244
0.005	1	0	1	-201.825
0.01	1	0	1	-201.825
0.015	1	0	1	-201.825
0.02	1	0	1	-201.825
0.024	1	0	1	-201.825
0.025	1	0	1	-201.825
0.03	1	0	1	-201.825
0.035	1	0	1	-201.825
0.04	1	0	1	-201.825
0.045	1	0	1	-201.825
0.05	1	0	1	-201.825
0.055	1	0	1	-201.825
0.06	1	0	1	-201.825
0.065	1	0	1	-201.825
0.07	1	0	1	-201.825
0.075	1	0	1	-201.825
0.08	1	0	1	-201.825
0.085	1	0	1	-201.825
0.09	1	0	1	-201.825
0.095	1	0	1	-201.825
0.1	1	0	1	-201.825
0.104	1	0	1	-201.825
0.105	1	0	1	-201.825
0.11	1	0	1	-201.825
0.115	1	0	1	-201.825
0.12	1	0	1	-201.825
0.125	1	0	1	-201.825
0.13	1	0	1	-201.825
0.135	1	0	1	-201.825
0.14	1	0	1	-201.825
0.145	1	0	1	-201.825
0.15	1	0	1	-201.825
0.155	1	0	1	-201.825
0.16	1	0	1	-201.825
0.165	1	0	1	-201.825
0.17	1	0	1	-201.825
0.175	1	0	1	-201.825
0.18	1	0	1	-201.825
0.184	1	0	1	-201.825
0.185	1	0	1	-201.825
0.19	1	0	1	-201.825
0.195	1	0	1	-201.825
0.2	1	0	1	-201.825
0.203	1	0	1	-201.825
0.203071	1	0	1	-201.825
0.205	1	0	1	-201.825
0.208	1	0	1	-201.825
0.208071	1	0	1	-201.825
0.21	1	0	1	-201.825
0.213	1	0	1	-201.825
0.213071	1	0	1	-201.825
0.214	1	0	1	-201.825
0.214071	1	0	1	-201.825
0.215	1	0	1	-201.825
0.218	1	0	1	-201.825
0.218071	1	0	1	-201.825
0.219	1	0	1	-201.825
0.219071	1	0	1	-201.825
0.22	1	0	1	-201.825
0.223	1	0	1	-201.825
0.223071	1	0	1	-201.825
0.224	1	0	1	-201.825
0.224071	1	0	1	-201.825
0.225	1	0	1	-201.825
0.228	1	0	1	-201.825
0.228071	1	0	1	-201.825
0.229	1	0	1	-201.825
0.229071	1	0	1	-201.825
0.23	1	0	1	-201.825
0.233	1	0	1	-201.825
0.233071	1	0	1	-201.825
0.234	1	0	1	-201.825
0.234071	1	0	1	-201.825
0.235	1	0	1	-201.825
0.238	1	0	1	-201.825
0.238071	1	0	1	-201.825
0.239	1	0	1	-201.825
0.239071	1	0	1	-201.825
0.24	1	0	1	-201.825
0.243	1	0	1	-201.825
0.243071	1	0	1	-201.825
0.244	1	0	1	-201.825
0.244071	1	0	1	-201.825
0.245	1	0	1	-201.825
0.248	1	0	1	-201.825
0.248071	1	0	1	-201.825
0.249	1	0	1	-201.825
0.249071	1	0	1	-201.825
0.25	1	0	1	-201.825
0.253	1	0	1	-201.825
0.253071	1	0	1	-201.825
0.254	1	0	1	-201.825
0.254071	1	0	1	-201.825
0.255	1	0	1	-201.825
0.258	1	0	1	-201.825
0.258071	1	0	1	-201.825
0.259	1	0	1	-201.825
0.259071	1	0	1	-201.825
0.26	1	0	1	-201.825
0.263	1	0	1	-201.825
0.263071	1	0	1	-201.825
0.264	1	0	1	-201.825
0.264071	1	0	1	-201.825
0.265	1	0	1	-201.825
0.268	1	0	1	-201.825
0.268071	1	0	1	-201.825
0.269	1	0	1	-201.825
0.269071	1	0	1	-201.825
0.27	1	0	1	-201.825
0.273	1	0	1	-201.825
0.273071	1	0	1	-201.825
0.274	1	0	1	-201.825
0.274071	1	0	1	-201.825
0.275	1	0	1	-201.825
0.278	1	0	1	-201.825
0.278071	1	0	1	-201.825
0.279	1	0	1	-201.825
0.279071	1	0	1	-201.825
0.28	1	0	1	-201.825
0.283	1	0	1	-201.825
0.283071	1	0	1	-201.825
0.284	1	0	1	-201.825
0.284071	1	0	1	-201.825
0.285	1	0	1	-201.825
0.288	1	0	1	-201.825
0.288071	1	0	1	-201.825
0.289	1	0	1	-201.825
0.289071	1	0	1	-201.825
0.29	1	0	1	-201.825
0.293	1	0	1	-201.825
0.293071	1	0	1	-201.825
0.294	1	0	1	-201.825
0.294071	1	0	1	-201.825
0.295	1	0	1	-201.825
0.298	1	0	1	-201.825
0.298071	1	0	1	-201.825
0.299	1	0	1	-201.825
0.299071	1	0	1	-201.825
0.3	1	0	1	-201.825
0.304	1	0	1	-201.825
0.304071	1	0	1	-201.825
0.305	1	0	1	-201.825
0.309	1	0	1	-201.825
0.309071	1	0	1	-201.825
0.31	1	0	1	-201.825
0.315	1	0	1	-201.825
0.32	1	0	1	-201.825
0.325	1	0	1	-201.825
0.33	1	0	1	-201.825
0.335	1	0	1	-201.825
0.34	1	0	1	-201.825
0.344	1	0	1	-201.825
0.345	1	0	1	-201.825
0.35	1	0	1	-201.825
0.355	1	0	1	-201.825
0.36	1	0	1	-201.825
0.365	1	0	1	-201.825
0.37	1	0	1	-201.825
0.375	1	0	1	-201.825
0.38	1	0	1	-201.825
0.385	1	0	1	-201.825
0.39	1	0	1	-201.825
0.395	1	0	1	-201.825
0.4	1	0	1	-201.825
0.405	1	0	1	-201.825
0.41	1	0	1	-201.825
0.415	1	0	1	-201.825
0.42	1	0	1	-201.825
0.424	1	0	1	-201.825
0.425	1	0	1	-201.825
0.43	1	0	1	-201.825
0.435	1	0	1	-201.825
0.44	1	0	1	-201.825
0.445	1	0	1	-201.825
0.45	1	0	1	-201.825
0.455	1	0	1	-201.825
0.46	1	0	1	-201.825
0.465	1	0	1	-201.825
0.47	1	0	1	-201.825
0.475	1	0	1	-201.825
0.48	1	0	1	-201.825
0.485	1	0	1	-201.825
0.49	1	0	1	-201.825
0.495	1	0	1	-201.825
0.5	1	0	1	-201.825
0.504	1	0	1	-201.825
0.505	1	0	1	-201.825
0.51	1	0	1	-201.825
0.515	1	0	1	-201.825
0.52	1	0	1	-201.825
0.525	1	0	1	-201.825
0.53	1	0	1	-201.825
0.535	1	0	1	-201.825
0.54	1	0	1	-201.825
0.545	1	0	1	-201.825
0.55	1	0	1	-201.825
0.555	1	0	1	-201.825
