time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.203386	1	1	3	1056	0.00238571
0.213243	1	1	3	1056	0.00224286
0.223243	1	1	3	1056	0.00224286
0.233243	1	1	3	1056	0.00224286
0.243243	1	1	3	1056	0.00224286
0.253243	1	1	3	1056	0.00224286
0.263243	1	1	3	1056	0.00224286
0.273243	1	1	3	1056	0.00224286
0.283243	1	1	3	1056	0.00224286
0.293243	1	1	3	1056	0.00224286
