% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.201	1	0	0	1	20	3	0	1	3	15	1	0	0	1390
0.211	1	0	0	1	21	3	0	1	1	15	1	0	14	5554
0.222	1	0	0	1	22	4	0	1	2	14	1	0	2	1274
0.231	1	0	0	1	23	3	0	1	3	15	1	0	0	1390
0.242	1	0	0	1	24	4	0	1	3	14	1	0	0	1390
0.251	1	0	0	1	25	3	0	1	3	15	1	0	0	1390
0.262	1	0	0	1	26	4	0	1	3	14	1	0	0	1390
0.271	1	0	0	1	27	3	0	1	3	15	1	0	0	1390
0.282	1	0	0	1	28	4	0	1	3	14	1	0	0	1390
0.291	1	0	0	1	29	3	0	1	3	15	1	0	0	1390
