% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.018	11	0	0	1	2	2	0	12	1	0	1	0	0	461
0.018	21	0	0	1	2	2	0	12	1	0	1	0	0	461
0.018	41	0	0	2	2	2	0	11	1	0	1	0	0	461
0.018	41	0	0	1	2	2	0	12	1	0	1	0	0	461
0.018	61	0	0	2	2	2	0	11	1	0	1	0	0	461
0.018	61	0	0	1	2	2	0	12	1	0	1	0	0	461
0.018	67	0	0	1	2	2	0	12	1	0	1	0	0	461
0.018	85	0	0	1	2	2	0	12	1	0	1	0	0	461
0.018	111	0	0	1	2	2	0	12	1	0	1	0	0	461
0.018	151	0	0	1	2	2	0	12	1	0	1	0	0	461
