Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.1	41	0	107	-222.706
0.1	61	0	101	-190.243
0.1	61	0	106	-230.493
0.1	67	0	109	-181.462
0.1	85	0	105	-194.004
0.1	111	0	104	-196.728
0.1	151	0	100	-191.86
0.105	11	0	103	-229.375
0.105	21	0	108	-188.426
0.105	41	0	102	-191.73
0.105	41	0	107	-222.706
0.105	61	0	101	-190.243
0.105	61	0	106	-230.493
0.105	67	0	109	-181.462
0.105	85	0	105	-194.004
0.105	111	0	104	-196.728
0.105	151	0	100	-191.86
0.106	11	0	103	-229.375
0.11	11	0	103	-229.375
0.11	21	0	108	-188.426
0.11	41	0	102	-191.73
0.11	41	0	107	-222.706
0.11	61	0	101	-190.243
0.11	61	0	106	-230.493
0.11	67	0	109	-181.462
0.11	85	0	105	-194.004
0.11	111	0	104	-196.728
0.11	151	0	100	-191.86
0.112	61	0	101	-190.243
0.112	61	0	106	-230.493
0.115	11	0	103	-229.375
0.115	21	0	108	-188.426
0.115	41	0	102	-191.73
0.115	41	0	107	-222.706
0.115	61	0	101	-190.243
0.115	61	0	106	-230.493
0.115	67	0	109	-181.462
0.115	85	0	105	-194.004
0.115	111	0	104	-196.728
0.115	151	0	100	-191.86
0.12	11	0	103	-229.375
0.12	21	0	108	-188.426
0.12	41	0	102	-191.73
0.12	41	0	107	-222.706
0.12	61	0	101	-190.243
0.12	61	0	106	-230.493
0.12	67	0	109	-181.462
0.12	85	0	105	-194.004
0.12	111	0	104	-196.728
0.12	151	0	100	-191.86
0.125	11	0	103	-229.375
0.125	21	0	108	-188.426
0.125	41	0	102	-191.73
0.125	41	0	107	-222.706
0.125	61	0	101	-190.243
0.125	61	0	106	-230.493
0.125	67	0	109	-181.462
0.125	85	0	105	-194.004
0.125	111	0	104	-196.728
0.125	151	0	100	-191.86
0.13	11	0	103	-229.375
0.13	21	0	108	-188.426
0.13	41	0	102	-191.73
0.13	41	0	107	-222.706
0.13	61	0	101	-190.243
0.13	61	0	106	-230.493
0.13	67	0	109	-181.462
0.13	85	0	105	-194.004
0.13	111	0	104	-196.728
0.13	151	0	100	-191.86
0.135	11	0	103	-229.375
0.135	21	0	108	-188.426
0.135	41	0	102	-191.73
0.135	41	0	107	-222.706
0.135	61	0	101	-190.243
0.135	61	0	106	-230.493
0.135	67	0	109	-181.462
0.135	85	0	105	-194.004
0.135	111	0	104	-196.728
0.135	151	0	100	-191.86
0.14	11	0	103	-229.375
0.14	21	0	108	-188.426
0.14	41	0	102	-191.73
0.14	41	0	107	-222.706
0.14	61	0	101	-190.243
0.14	61	0	106	-230.493
0.14	67	0	109	-181.462
0.14	85	0	105	-194.004
0.14	111	0	104	-196.728
0.14	151	0	100	-191.86
0.141	111	0	104	-196.728
0.142	41	0	102	-191.73
0.142	41	0	107	-222.706
0.145	11	0	103	-229.375
0.145	21	0	108	-188.426
0.145	41	0	102	-191.73
0.145	41	0	107	-222.706
0.145	61	0	101	-190.243
0.145	61	0	106	-230.493
0.145	67	0	109	-181.462
0.145	85	0	105	-194.004
0.145	111	0	104	-196.728
0.145	151	0	100	-191.86
0.147	67	0	109	-181.462
0.15	11	0	103	-212.485
0.15	21	0	108	-191.755
0.15	41	0	102	-190.628
0.15	41	0	107	-197.901
0.15	61	0	101	-189.377
0.15	61	0	106	-224.149
0.15	67	0	109	-176.173
0.15	85	0	105	-199.242
0.15	111	0	104	-194.953
0.15	151	0	100	-193.753
0.155	11	0	103	-212.485
0.155	21	0	108	-191.755
0.155	41	0	102	-190.628
0.155	41	0	107	-197.901
0.155	61	0	101	-189.377
0.155	61	0	106	-224.149
0.155	67	0	109	-176.173
0.155	85	0	105	-199.242
0.155	111	0	104	-194.953
0.155	151	0	100	-193.753
0.16	11	0	103	-212.485
0.16	21	0	108	-191.755
0.16	41	0	102	-190.628
0.16	41	0	107	-197.901
0.16	61	0	101	-189.377
0.16	61	0	106	-224.149
0.16	67	0	109	-176.173
0.16	85	0	105	-199.242
0.16	111	0	104	-194.953
0.16	151	0	100	-193.753
0.164	21	0	108	-191.755
0.164	151	0	100	-193.753
0.165	11	0	103	-212.485
0.165	21	0	108	-191.755
0.165	41	0	102	-190.628
0.165	41	0	107	-197.901
0.165	61	0	101	-189.377
0.165	61	0	106	-224.149
0.165	67	0	109	-176.173
0.165	85	0	105	-199.242
0.165	111	0	104	-194.953
0.165	151	0	100	-193.753
0.17	11	0	103	-212.485
0.17	21	0	108	-191.755
0.17	41	0	102	-190.628
0.17	41	0	107	-197.901
0.17	61	0	101	-189.377
0.17	61	0	106	-224.149
0.17	67	0	109	-176.173
0.17	85	0	105	-199.242
0.17	111	0	104	-194.953
0.17	151	0	100	-193.753
0.175	11	0	103	-212.485
0.175	21	0	108	-191.755
0.175	41	0	102	-190.628
0.175	41	0	107	-197.901
0.175	61	0	101	-189.377
0.175	61	0	106	-224.149
0.175	67	0	109	-176.173
0.175	85	0	105	-199.242
0.175	111	0	104	-194.953
0.175	151	0	100	-193.753
0.18	11	0	103	-212.485
0.18	21	0	108	-191.755
0.18	41	0	102	-190.628
0.18	41	0	107	-197.901
0.18	61	0	101	-189.377
0.18	61	0	106	-224.149
0.18	67	0	109	-176.173
0.18	85	0	105	-199.242
0.18	111	0	104	-194.953
0.18	151	0	100	-193.753
0.185	11	0	103	-212.485
0.185	21	0	108	-191.755
0.185	41	0	102	-190.628
0.185	41	0	107	-197.901
0.185	61	0	101	-189.377
0.185	61	0	106	-224.149
0.185	67	0	109	-176.173
0.185	85	0	105	-199.242
0.185	111	0	104	-194.953
0.185	151	0	100	-193.753
0.186	11	0	103	-212.485
0.19	11	0	103	-212.485
0.19	21	0	108	-191.755
0.19	41	0	102	-190.628
0.19	41	0	107	-197.901
0.19	61	0	101	-189.377
0.19	61	0	106	-224.149
0.19	67	0	109	-176.173
0.19	85	0	105	-199.242
0.19	111	0	104	-194.953
0.19	151	0	100	-193.753
0.192	61	0	101	-189.377
0.192	61	0	106	-224.149
0.195	11	0	103	-212.485
0.195	21	0	108	-191.755
0.195	41	0	102	-190.628
0.195	41	0	107	-197.901
0.195	61	0	101	-189.377
0.195	61	0	106	-224.149
0.195	67	0	109	-176.173
0.195	85	0	105	-199.242
0.195	111	0	104	-194.953
0.195	151	0	100	-193.753
0.2	11	0	103	-220.774
0.2	21	0	108	-191.464
0.2	41	0	102	-190.105
0.2	41	0	107	-219.588
0.2	61	0	101	-187
0.2	61	0	106	-228.194
0.2	67	0	109	-176.047
0.2	85	0	105	-196.679
0.2	111	0	104	-192.588
0.2	151	0	100	-190.705
0.203	11	0	103	-220.774
0.203	21	0	108	-191.464
0.203	41	0	102	-190.105
0.203	41	0	107	-219.588
0.203	61	0	101	-187
0.203	61	0	106	-228.194
0.203	67	0	109	-176.047
0.203	85	0	105	-196.679
0.203	111	0	104	-192.588
0.203	151	0	100	-190.705
0.203071	11	0	103	-220.774
0.203071	21	0	108	-191.464
0.203071	41	0	102	-190.105
0.203071	41	0	107	-219.588
0.203071	61	0	101	-187
0.203071	61	0	106	-228.194
0.203071	67	0	109	-176.047
0.203071	85	0	105	-196.679
0.203071	111	0	104	-192.588
0.203071	151	0	100	-190.705
0.203286	41	0	102	-190.105
0.203286	41	0	107	-219.588
0.203286	61	0	101	-187
0.203286	61	0	106	-228.194
0.205	11	0	103	-220.774
0.205	21	0	108	-191.464
0.205	41	0	102	-190.105
0.205	41	0	107	-219.588
0.205	61	0	101	-187
0.205	61	0	106	-228.194
0.205	67	0	109	-176.047
0.205	85	0	105	-196.679
0.205	111	0	104	-192.588
0.205	151	0	100	-190.705
0.208	61	0	101	-187
0.208	61	0	106	-228.194
0.208071	61	0	101	-187
0.208071	61	0	106	-228.194
0.21	11	0	103	-220.774
0.21	21	0	108	-191.464
0.21	41	0	102	-190.105
0.21	41	0	107	-219.588
0.21	61	0	101	-187
0.21	61	0	106	-228.194
0.21	67	0	109	-176.047
0.21	85	0	105	-196.679
0.21	111	0	104	-192.588
0.21	151	0	100	-190.705
0.213	11	0	103	-220.774
0.213	21	0	108	-191.464
