Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.245929	HARQ FD Txed	24	5	0	21	1	0	15	2
0.245929	HARQ FD Txed	24	5	0	85	1	0	15	2
0.245929	HARQ FD Txed	24	5	0	111	1	0	15	2
0.245929	HARQ FD Txed	24	5	0	67	1	0	15	2
0.245929	HARQ FD Txed	24	5	0	41	2	0	15	2
0.245929	HARQ FD Txed	24	5	0	11	1	0	15	2
0.245929	HARQ FD Txed	24	5	0	61	2	0	15	2
0.245929	HARQ FD Txed	24	5	0	41	1	0	15	2
0.245929	HARQ FD Txed	24	5	0	61	1	0	15	2
0.248071	DL DCI Rxed	24	8	0	61	2	0	15	2
0.250929	HARQ FD Txed	25	0	0	61	2	0	15	2
0.253071	DL DCI Rxed	25	3	0	11	1	0	15	2
0.253071	DL DCI Rxed	25	3	0	21	1	0	15	2
0.253071	DL DCI Rxed	25	3	0	41	1	0	15	2
0.253071	DL DCI Rxed	25	3	0	41	2	0	15	2
0.253071	DL DCI Rxed	25	3	0	61	1	0	15	2
0.253071	DL DCI Rxed	25	3	0	61	2	0	15	2
0.253071	DL DCI Rxed	25	3	0	67	1	0	15	2
0.253071	DL DCI Rxed	25	3	0	85	1	0	15	2
0.253071	DL DCI Rxed	25	3	0	111	1	0	15	2
0.253071	DL DCI Rxed	25	3	0	151	1	0	15	2
0.255929	HARQ FD Txed	25	5	0	85	1	0	15	2
0.255929	HARQ FD Txed	25	5	0	111	1	0	15	2
0.255929	HARQ FD Txed	25	5	0	67	1	0	15	2
0.255929	HARQ FD Txed	25	5	0	11	1	0	15	2
0.255929	HARQ FD Txed	25	5	0	151	1	0	15	2
0.255929	HARQ FD Txed	25	5	0	21	1	0	15	2
0.255929	HARQ FD Txed	25	5	0	41	2	0	15	2
0.255929	HARQ FD Txed	25	5	0	61	2	0	15	2
0.255929	HARQ FD Txed	25	5	0	41	1	0	15	2
0.255929	HARQ FD Txed	25	5	0	61	1	0	15	2
0.258071	DL DCI Rxed	25	8	0	11	1	0	15	2
0.260929	HARQ FD Txed	26	0	0	11	1	0	15	2
0.263071	DL DCI Rxed	26	3	0	11	1	0	15	2
0.263071	DL DCI Rxed	26	3	0	21	1	0	15	2
0.263071	DL DCI Rxed	26	3	0	41	1	0	15	2
0.263071	DL DCI Rxed	26	3	0	41	2	0	15	2
0.263071	DL DCI Rxed	26	3	0	61	1	0	15	2
0.263071	DL DCI Rxed	26	3	0	61	2	0	15	2
0.263071	DL DCI Rxed	26	3	0	67	1	0	15	2
0.263071	DL DCI Rxed	26	3	0	85	1	0	15	2
0.263071	DL DCI Rxed	26	3	0	111	1	0	15	2
0.263071	DL DCI Rxed	26	3	0	151	1	0	15	2
0.265929	HARQ FD Txed	26	5	0	85	1	0	15	2
0.265929	HARQ FD Txed	26	5	0	111	1	0	15	2
0.265929	HARQ FD Txed	26	5	0	67	1	0	15	2
0.265929	HARQ FD Txed	26	5	0	151	1	0	15	2
0.265929	HARQ FD Txed	26	5	0	21	1	0	15	2
0.265929	HARQ FD Txed	26	5	0	41	2	0	15	2
0.265929	HARQ FD Txed	26	5	0	61	2	0	15	2
0.265929	HARQ FD Txed	26	5	0	41	1	0	15	2
0.265929	HARQ FD Txed	26	5	0	61	1	0	15	2
0.265929	HARQ FD Txed	26	5	0	11	1	0	15	2
0.268071	DL DCI Rxed	26	8	0	41	2	0	15	2
0.268071	DL DCI Rxed	26	8	0	61	2	0	15	2
0.270929	HARQ FD Txed	27	0	0	41	2	0	15	2
0.270929	HARQ FD Txed	27	0	0	61	2	0	15	2
0.273071	DL DCI Rxed	27	3	0	11	1	0	15	2
0.273071	DL DCI Rxed	27	3	0	21	1	0	15	2
0.273071	DL DCI Rxed	27	3	0	41	1	0	15	2
0.273071	DL DCI Rxed	27	3	0	41	2	0	15	2
0.273071	DL DCI Rxed	27	3	0	61	1	0	15	2
0.273071	DL DCI Rxed	27	3	0	61	2	0	15	2
0.273071	DL DCI Rxed	27	3	0	67	1	0	15	2
0.273071	DL DCI Rxed	27	3	0	85	1	0	15	2
0.273071	DL DCI Rxed	27	3	0	111	1	0	15	2
0.273071	DL DCI Rxed	27	3	0	151	1	0	15	2
0.275929	HARQ FD Txed	27	5	0	85	1	0	15	2
0.275929	HARQ FD Txed	27	5	0	111	1	0	15	2
0.275929	HARQ FD Txed	27	5	0	67	1	0	15	2
0.275929	HARQ FD Txed	27	5	0	151	1	0	15	2
0.275929	HARQ FD Txed	27	5	0	21	1	0	15	2
0.275929	HARQ FD Txed	27	5	0	41	2	0	15	2
0.275929	HARQ FD Txed	27	5	0	61	2	0	15	2
0.275929	HARQ FD Txed	27	5	0	11	1	0	15	2
0.275929	HARQ FD Txed	27	5	0	41	1	0	15	2
0.275929	HARQ FD Txed	27	5	0	61	1	0	15	2
0.283071	DL DCI Rxed	28	3	0	11	1	0	15	2
0.283071	DL DCI Rxed	28	3	0	21	1	0	15	2
0.283071	DL DCI Rxed	28	3	0	41	1	0	15	2
0.283071	DL DCI Rxed	28	3	0	41	2	0	15	2
0.283071	DL DCI Rxed	28	3	0	61	1	0	15	2
0.283071	DL DCI Rxed	28	3	0	61	2	0	15	2
0.283071	DL DCI Rxed	28	3	0	67	1	0	15	2
0.283071	DL DCI Rxed	28	3	0	85	1	0	15	2
0.283071	DL DCI Rxed	28	3	0	111	1	0	15	2
0.283071	DL DCI Rxed	28	3	0	151	1	0	15	2
0.285929	HARQ FD Txed	28	5	0	111	1	0	15	2
0.285929	HARQ FD Txed	28	5	0	67	1	0	15	2
0.285929	HARQ FD Txed	28	5	0	151	1	0	15	2
0.285929	HARQ FD Txed	28	5	0	21	1	0	15	2
0.285929	HARQ FD Txed	28	5	0	41	2	0	15	2
0.285929	HARQ FD Txed	28	5	0	85	1	0	15	2
0.285929	HARQ FD Txed	28	5	0	61	2	0	15	2
0.285929	HARQ FD Txed	28	5	0	41	1	0	15	2
0.285929	HARQ FD Txed	28	5	0	61	1	0	15	2
0.285929	HARQ FD Txed	28	5	0	11	1	0	15	2
0.293071	DL DCI Rxed	29	3	0	11	1	0	15	2
0.293071	DL DCI Rxed	29	3	0	21	1	0	15	2
