Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.227	gNB PHY Rxed	22	6	0	151	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	21	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	85	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	41	2	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	41	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	61	2	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	61	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	11	1	0	DL_CQI
0.227	gNB PHY Rxed	22	6	0	111	1	0	DL_CQI
0.229929	gNB PHY Rxed	22	9	0	67	0	0	SRS
0.231	gNB PHY Rxed	23	0	0	61	2	0	DL_HARQ
0.232	gNB PHY Rxed	23	1	0	61	2	0	DL_CQI
0.236	gNB PHY Rxed	23	5	0	151	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	21	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	85	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	11	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	111	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	67	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	41	2	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	41	1	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	61	2	0	DL_HARQ
0.236	gNB PHY Rxed	23	5	0	61	1	0	DL_HARQ
0.237	gNB PHY Rxed	23	6	0	151	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	21	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	85	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	11	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	111	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	67	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	41	2	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	41	1	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	61	2	0	DL_CQI
0.237	gNB PHY Rxed	23	6	0	61	1	0	DL_CQI
0.237929	gNB PHY Rxed	23	7	0	41	0	0	SRS
0.241	gNB PHY Rxed	24	0	0	11	1	0	DL_HARQ
0.241	gNB PHY Rxed	24	0	0	61	2	0	DL_HARQ
0.242	gNB PHY Rxed	24	1	0	11	1	0	DL_CQI
0.242	gNB PHY Rxed	24	1	0	61	2	0	DL_CQI
0.246	gNB PHY Rxed	24	5	0	151	1	0	DL_HARQ
0.246	gNB PHY Rxed	24	5	0	21	1	0	DL_HARQ
0.246	gNB PHY Rxed	24	5	0	85	1	0	DL_HARQ
0.246	gNB PHY Rxed	24	5	0	111	1	0	DL_HARQ
0.246	gNB PHY Rxed	24	5	0	67	1	0	DL_HARQ
0.246	gNB PHY Rxed	24	5	0	41	2	0	DL_HARQ
0.246	gNB PHY Rxed	24	5	0	41	1	0	DL_HARQ
0.246	gNB PHY Rxed	24	5	0	11	1	0	DL_HARQ
0.246	gNB PHY Rxed	24	5	0	61	2	0	DL_HARQ
0.246	gNB PHY Rxed	24	5	0	61	1	0	DL_HARQ
0.246929	gNB PHY Rxed	24	6	0	151	0	0	SRS
0.246929	gNB PHY Rxed	24	6	0	21	0	0	SRS
0.247	gNB PHY Rxed	24	6	0	85	1	0	DL_CQI
0.247	gNB PHY Rxed	24	6	0	111	1	0	DL_CQI
0.247	gNB PHY Rxed	24	6	0	67	1	0	DL_CQI
0.247	gNB PHY Rxed	24	6	0	41	2	0	DL_CQI
0.247	gNB PHY Rxed	24	6	0	41	1	0	DL_CQI
0.247	gNB PHY Rxed	24	6	0	11	1	0	DL_CQI
0.247	gNB PHY Rxed	24	6	0	61	2	0	DL_CQI
0.247	gNB PHY Rxed	24	6	0	61	1	0	DL_CQI
0.247	gNB PHY Rxed	24	6	0	151	1	0	DL_CQI
0.247	gNB PHY Rxed	24	6	0	21	1	0	DL_CQI
0.251	gNB PHY Rxed	25	0	0	61	2	0	DL_HARQ
0.252	gNB PHY Rxed	25	1	0	61	2	0	DL_CQI
0.256	gNB PHY Rxed	25	5	0	85	1	0	DL_HARQ
0.256	gNB PHY Rxed	25	5	0	111	1	0	DL_HARQ
0.256	gNB PHY Rxed	25	5	0	67	1	0	DL_HARQ
0.256	gNB PHY Rxed	25	5	0	11	1	0	DL_HARQ
0.256	gNB PHY Rxed	25	5	0	151	1	0	DL_HARQ
0.256	gNB PHY Rxed	25	5	0	21	1	0	DL_HARQ
0.256	gNB PHY Rxed	25	5	0	41	2	0	DL_HARQ
0.256	gNB PHY Rxed	25	5	0	41	1	0	DL_HARQ
0.256	gNB PHY Rxed	25	5	0	61	2	0	DL_HARQ
0.256	gNB PHY Rxed	25	5	0	61	1	0	DL_HARQ
0.257	gNB PHY Rxed	25	6	0	85	1	0	DL_CQI
0.257	gNB PHY Rxed	25	6	0	111	1	0	DL_CQI
0.257	gNB PHY Rxed	25	6	0	67	1	0	DL_CQI
0.257	gNB PHY Rxed	25	6	0	11	1	0	DL_CQI
0.257	gNB PHY Rxed	25	6	0	151	1	0	DL_CQI
0.257	gNB PHY Rxed	25	6	0	21	1	0	DL_CQI
0.257	gNB PHY Rxed	25	6	0	41	2	0	DL_CQI
0.257	gNB PHY Rxed	25	6	0	41	1	0	DL_CQI
0.257	gNB PHY Rxed	25	6	0	61	2	0	DL_CQI
0.257	gNB PHY Rxed	25	6	0	61	1	0	DL_CQI
0.261	gNB PHY Rxed	26	0	0	11	1	0	DL_HARQ
0.262	gNB PHY Rxed	26	1	0	11	1	0	DL_CQI
0.266	gNB PHY Rxed	26	5	0	85	1	0	DL_HARQ
0.266	gNB PHY Rxed	26	5	0	111	1	0	DL_HARQ
0.266	gNB PHY Rxed	26	5	0	67	1	0	DL_HARQ
0.266	gNB PHY Rxed	26	5	0	151	1	0	DL_HARQ
0.266	gNB PHY Rxed	26	5	0	21	1	0	DL_HARQ
0.266	gNB PHY Rxed	26	5	0	41	2	0	DL_HARQ
0.266	gNB PHY Rxed	26	5	0	41	1	0	DL_HARQ
0.266	gNB PHY Rxed	26	5	0	61	2	0	DL_HARQ
0.266	gNB PHY Rxed	26	5	0	61	1	0	DL_HARQ
0.266	gNB PHY Rxed	26	5	0	11	1	0	DL_HARQ
0.267	gNB PHY Rxed	26	6	0	85	1	0	DL_CQI
0.267	gNB PHY Rxed	26	6	0	111	1	0	DL_CQI
0.267	gNB PHY Rxed	26	6	0	67	1	0	DL_CQI
0.267	gNB PHY Rxed	26	6	0	151	1	0	DL_CQI
0.267	gNB PHY Rxed	26	6	0	21	1	0	DL_CQI
0.267	gNB PHY Rxed	26	6	0	41	2	0	DL_CQI
0.267	gNB PHY Rxed	26	6	0	41	1	0	DL_CQI
0.267	gNB PHY Rxed	26	6	0	61	2	0	DL_CQI
0.267	gNB PHY Rxed	26	6	0	61	1	0	DL_CQI
0.267	gNB PHY Rxed	26	6	0	11	1	0	DL_CQI
0.268929	gNB PHY Rxed	26	8	0	11	0	0	SRS
0.271	gNB PHY Rxed	27	0	0	41	2	0	DL_HARQ
0.271	gNB PHY Rxed	27	0	0	61	2	0	DL_HARQ
0.272	gNB PHY Rxed	27	1	0	41	2	0	DL_CQI
0.272	gNB PHY Rxed	27	1	0	61	2	0	DL_CQI
0.274929	gNB PHY Rxed	27	4	0	61	0	0	SRS
0.276	gNB PHY Rxed	27	5	0	85	1	0	DL_HARQ
0.276	gNB PHY Rxed	27	5	0	111	1	0	DL_HARQ
0.276	gNB PHY Rxed	27	5	0	67	1	0	DL_HARQ
0.276	gNB PHY Rxed	27	5	0	151	1	0	DL_HARQ
0.276	gNB PHY Rxed	27	5	0	21	1	0	DL_HARQ
0.276	gNB PHY Rxed	27	5	0	41	2	0	DL_HARQ
0.276	gNB PHY Rxed	27	5	0	41	1	0	DL_HARQ
0.276	gNB PHY Rxed	27	5	0	61	2	0	DL_HARQ
0.276	gNB PHY Rxed	27	5	0	61	1	0	DL_HARQ
0.276	gNB PHY Rxed	27	5	0	11	1	0	DL_HARQ
0.277	gNB PHY Rxed	27	6	0	85	1	0	DL_CQI
0.277	gNB PHY Rxed	27	6	0	111	1	0	DL_CQI
0.277	gNB PHY Rxed	27	6	0	67	1	0	DL_CQI
0.277	gNB PHY Rxed	27	6	0	151	1	0	DL_CQI
0.277	gNB PHY Rxed	27	6	0	21	1	0	DL_CQI
0.277	gNB PHY Rxed	27	6	0	41	2	0	DL_CQI
0.277	gNB PHY Rxed	27	6	0	41	1	0	DL_CQI
