Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.203286	DL	20	3	0	1	3	1	0	1	1390	0	1	0	4.54804	6	0	0
0.213143	DL	21	3	0	1	1	1	0	1	3472	10	1	0	5.04929	7	0	2.22045e-14
0.223143	DL	22	3	0	1	1	1	0	1	4282	12	1	0	5.10539	7	0	0.00316999
0.233143	DL	23	3	0	1	1	1	0	1	4282	12	1	0	5.15755	7	0	0.000721496
0.243143	DL	24	3	0	1	1	1	0	1	4282	12	1	0	5.13144	7	0	0.000567347
0.253143	DL	25	3	0	1	1	1	0	1	4282	12	1	0	5.1461	7	0	0.000998315
0.263143	DL	26	3	0	1	1	1	0	1	4282	12	1	0	5.13337	7	0	0.00245053
0.273143	DL	27	3	0	1	1	1	0	1	4282	12	1	0	5.06162	7	0	0.00409628
0.283143	DL	28	3	0	1	1	1	0	1	4282	12	1	0	5.0684	7	0	0.00276789
0.293143	DL	29	3	0	1	1	1	0	1	4282	12	1	0	5.0737	7	0	0.00358162
