time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.203386	1	1	3	1054	0.00337388
0.213243	1	1	3	1054	0.00323102
0.223243	1	1	3	1054	0.00323102
0.233243	1	1	3	1054	0.00323102
0.243243	1	1	3	1054	0.00323102
0.253243	1	1	3	1054	0.00323102
0.263243	1	1	3	1054	0.00323102
0.273243	1	1	3	1054	0.00323102
0.283243	1	1	3	1054	0.00323102
0.293243	1	1	3	1054	0.00323102
